"Alpha","Fold","Lambda","MAE","RMSE","R2"
0.25,1,5.75762176106797,113.704995487723,134.372753324815,0.365272030637147
0.25,1,5.12401296230569,114.102448443047,134.822128763735,0.361019559890953
0.25,1,4.56013088866168,114.467169173942,135.26642600874,0.356801186632906
0.25,1,4.05830232567741,114.797394009384,135.694027189681,0.352728227899666
0.25,1,3.61169847285509,115.095713518409,136.100720690038,0.348842490066456
0.25,1,3.21424201846431,115.348809493035,136.458234537679,0.345417033006319
0.25,1,2.86052444048422,115.670770441016,136.930361294412,0.340879662830541
0.25,1,2.54573240832593,115.945331456899,137.346752046046,0.336864937401039
0.25,1,2.26558228382203,116.185567624985,137.721705632588,0.333239307178787
0.25,1,2.01626183018332,116.409654938186,138.08217669648,0.329744397251067
0.25,1,1.79437833570804,116.612779605648,138.417159382589,0.326488417784281
0.25,1,1.59691244631933,116.795879117146,138.725675306688,0.323482712161534
0.25,1,1.42117707869191,116.961859671732,139.002680257558,0.320778299517045
0.25,1,1.26478085486434,117.159570195427,139.286825878179,0.317998567042102
0.25,1,1.12559556076134,117.355264221954,139.554191616246,0.315377804843339
0.25,1,1.00172718580684,117.531870289666,139.799208953504,0.312971692050754
0.25,1,0.891490149539825,117.675216232177,139.998707894684,0.311009460403978
0.25,1,0.793384364512787,117.814214854848,140.195544704737,0.309070670520951
0.25,1,0.706074823348611,117.941689172985,140.378364581847,0.307267503731938
0.25,1,0.628373432179904,118.039069073347,140.517431659925,0.305894300637122
0.25,1,0.559222843263172,118.154593602706,140.687131051794,0.30421678007203
0.25,1,0.497682066764738,118.235622614809,140.805144138271,0.303048997864232
0.25,1,0.442913665925944,118.314950691515,140.921970524849,0.301891994036985
0.25,1,0.394172361361561,118.388555706826,141.031321988038,0.300808149550063
0.25,1,0.350794889420565,118.455457854716,141.131399205091,0.299815490608485
0.25,1,0.312190976603534,118.498643140655,141.194864326573,0.299185619627807
0.25,1,0.277835307218003,118.56300687409,141.292602772612,0.298215043023864
0.25,1,0.247260374968981,118.600122491474,141.347981238742,0.297664817606887
0.25,2,382.849373932273,120.958448356482,149.688953826378,0.0259561062159364
0.25,2,340.717962389337,120.348627802106,148.158794437564,0.0457681835463878
0.25,2,303.222984805712,119.727540637602,146.683082630826,0.0646824603833344
0.25,2,269.854215697089,119.099186850098,145.277632716104,0.0825201586952504
0.25,2,240.157578345028,118.467759620753,143.956582921169,0.0991300915723765
0.25,2,213.728965795699,117.903108878287,142.731812369323,0.114393933904326
0.25,2,190.208741838959,117.559899441515,141.612482998375,0.128229643609759
0.25,2,169.276847137993,117.227277015219,140.60474514504,0.140592821438057
0.25,2,150.648443914528,116.915296330784,139.711628639,0.151475996224967
0.25,2,134.070039923227,116.632924762035,138.933121373676,0.160906014983985
0.25,2,119.316038970929,116.377675826468,138.266417737299,0.168939876654287
0.25,2,106.185671040782,116.132640007909,137.70630317043,0.175659455355084
0.25,2,94.5002602468927,115.89877633245,137.2456307782,0.181165604700037
0.25,2,84.1007934422775,115.676814308202,136.875842355977,0.185572121077439
0.25,2,74.845756394128,115.467258363398,136.587488983403,0.188999981716824
0.25,2,66.6092080814196,115.27039965586,136.370714012569,0.191572179198513
0.25,2,59.2790669102242,115.086333652837,136.215671763134,0.193409365692185
0.25,2,52.7555855258255,114.905768188537,136.115150872615,0.194599379901787
0.25,2,46.9499934671316,114.717869807002,136.0647228524,0.195196039935616
0.25,2,41.7832891928501,114.544427660729,136.05124643951,0.19535545426615
0.25,2,37.1851650415151,114.352760559944,136.023240964325,0.195686684359882
0.25,2,33.093050496401,114.132122706331,135.989497663923,0.196085687049429
0.25,2,29.4512607362285,114.073585689999,135.987253603096,0.196112218770825
0.25,2,26.2102388852802,114.114268143138,135.955469337804,0.19648795981735
0.25,2,23.3258816515924,114.119183747493,135.965478247143,0.196369647913692
0.25,2,20.7589391766155,114.177885698228,136.025376991562,0.195661423255579
0.25,2,18.4744809295988,114.220720763045,136.095531959883,0.194831535479418
0.25,2,16.4414203786764,114.271287792471,136.218459416403,0.193376351605078
0.25,2,14.6320919704577,114.318091585318,136.36000195375,0.191699179871745
0.25,2,13.0218746617296,114.352147676557,136.49374833404,0.190112786135573
0.25,2,11.588856880353,114.382126056433,136.637086177568,0.188410899531427
0.25,2,10.3135383561944,114.475349537557,136.784908936477,0.186653891392078
0.25,2,9.17856476465982,114.575653732368,136.93318655199,0.18488956827361
0.25,2,8.1684915719013,114.665492881299,137.07873471554,0.183155863241186
0.25,2,7.26957386814228,114.774964503266,137.239064197395,0.181243957847763
0.25,2,6.46957932920735,114.901080190415,137.423486648963,0.179041983466431
0.25,2,5.75762176106797,115.061283050957,137.627921807932,0.176597604807552
0.25,2,5.12401296230569,115.23670240025,137.823818061567,0.174251914505489
0.25,2,4.56013088866168,115.394673729207,138.009974556814,0.172019757767617
0.25,2,4.05830232567741,115.549280896662,138.183839528011,0.169932264602056
0.25,2,3.61169847285509,115.713417450571,138.347693225005,0.167962565316168
0.25,2,3.21424201846431,115.860940952881,138.500218704253,0.166126945774678
0.25,2,2.86052444048422,115.9932711086,138.641304245033,0.164427203295572
0.25,2,2.54573240832593,116.110951010688,138.771654222738,0.162855260538383
0.25,2,2.26558228382203,116.23038428771,138.923845067089,0.161018060738542
0.25,2,2.01626183018332,116.391861087662,139.116662897502,0.15868753294288
0.25,2,1.79437833570804,116.585436909671,139.334593549231,0.156049583175043
0.25,2,1.59691244631933,116.762559643139,139.540711178858,0.153550825050972
0.25,2,1.42117707869191,117.110605943724,139.94971588761,0.148581535910398
0.25,2,1.26478085486434,117.544350030416,140.49163525847,0.141974970368811
0.25,2,1.12559556076134,118.383136300744,141.61496761592,0.128199052592945
0.25,2,1.00172718580684,119.745611038586,143.611435735539,0.10344472539378
0.25,2,0.891490149539825,121.10770879807,145.771024928441,0.076277682242422
0.25,2,0.793384364512787,122.427421972585,148.021084462849,0.0475412294179824
0.25,2,0.706074823348611,123.681623401689,150.298968439254,0.0180010540743065
0.25,2,0.628373432179904,124.922642445917,152.553893981203,-0.0116857133865931
0.25,2,0.559222843263172,126.285086255423,154.853645848062,-0.0424179746977007
